site_store,region,store_type,urbanization,b2b_b2c,region_enc,urbanization_enc,is_b2b_b2c,store_Khác,store_Online,store_Pop - up,store_Siêu thị,store_Store In Store,store_Trong mall,store_Độc lập
60002140,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002240,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002370,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002371,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002469,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002556,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002557,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002559,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002560,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002568,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002569,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002691,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002692,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002840,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002841,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002918,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002923,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003004,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003035,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003133,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003285,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003315,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003376,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003382,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003385,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003400,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003455,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003501,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60001228,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60001260,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60001280,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60001284,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60001327,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60001329,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60001347,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60001386,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60001427,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60002138,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002326,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60002975,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60003003,KVMTR,Siêu thị,TT hành chính kinh tế,B2B,4,3,0,0,0,0,1,0,0,0
60003135,KVMTR,Siêu thị,Nông thôn,B2B,4,1,0,0,0,0,1,0,0,0
60000681,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60000743,KVMT,Siêu thị,TT hành chính kinh tế,B2B,3,3,0,0,0,0,1,0,0,0
60000811,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60000837,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60000909,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60002157,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60002166,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60002229,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60002230,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60002440,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60002715,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003011,KVMT,Siêu thị,TT hành chính kinh tế,B2B,3,3,0,0,0,0,1,0,0,0
60003061,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003110,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003132,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003320,KVMT,Siêu thị,Nông thôn,B2B,3,1,0,0,0,0,1,0,0,0
60003321,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003471,KVMT,Siêu thị,Nông thôn,B2B,3,1,0,0,0,0,1,0,0,0
60003497,KVMT,Siêu thị,Nông thôn,B2B,3,1,0,0,0,0,1,0,0,0
60003550,KVMT,Siêu thị,Nông thôn,B2B,3,1,0,0,0,0,1,0,0,0
60000924,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60000928,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60001143,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60001194,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002015,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002150,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002394,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002422,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002545,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002690,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60002843,KVTN,Siêu thị,Nông thôn,B2B,5,1,0,0,0,0,1,0,0,0
60002849,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60003063,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60003225,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60003257,KVTN,Siêu thị,Nông thôn,B2B,5,1,0,0,0,0,1,0,0,0
60003270,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60003530,KVTN,Siêu thị,Nông thôn,B2B,5,1,0,0,0,0,1,0,0,0
60003590,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003595,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003652,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003653,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003657,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003658,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003659,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003686,KVMN,Siêu thị,Nông thôn,B2B,2,1,0,0,0,0,1,0,0,0
60003687,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003691,KVMN,Siêu thị,Nông thôn,B2B,2,1,0,0,0,0,1,0,0,0
60003641,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003642,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003643,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003644,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003656,KVMB,Siêu thị,Nội thành,B2B,1,2,0,0,0,0,1,0,0,0
60003560,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60003685,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003689,KVTN,Siêu thị,Nông thôn,B2B,5,1,0,0,0,0,1,0,0,0
60002760,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003295,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003741,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60003697,KVMTR,Siêu thị,Nội thành,B2B,4,2,0,0,0,0,1,0,0,0
60003695,KVMT,Siêu thị,Nội thành,B2B,3,2,0,0,0,0,1,0,0,0
60003715,KVTN,Siêu thị,Nội thành,B2B,5,2,0,0,0,0,1,0,0,0
60003790,KVMN,Siêu thị,Nội thành,B2B,2,2,0,0,0,0,1,0,0,0
60000544,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60001398,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60001408,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002205,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002222,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002473,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002164,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002470,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002685,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002844,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60001411,KVMT,Siêu thị,Khác,B2B,3,0,0,0,0,0,1,0,0,0
60001392,KVTN,Siêu thị,Khác,B2B,5,0,0,0,0,0,1,0,0,0
60000009,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002836,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002740,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002410,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002555,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002558,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002646,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002837,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002838,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002839,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002847,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003032,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003054,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003174,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003186,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002562,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002846,KVTN,Siêu thị,Khác,B2B,5,0,0,0,0,0,1,0,0,0
60003190,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003261,KVMT,Siêu thị,Khác,B2B,3,0,0,0,0,0,1,0,0,0
60003025,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002899,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002905,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002916,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002917,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002920,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002928,KVTN,Siêu thị,Khác,B2B,5,0,0,0,0,0,1,0,0,0
60002946,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002947,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002950,KVMT,Siêu thị,Khác,B2B,3,0,0,0,0,0,1,0,0,0
60002951,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60002965,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60002973,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60003000,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60003014,KVMT,Siêu thị,Khác,B2B,3,0,0,0,0,0,1,0,0,0
60003044,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003045,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60003083,KVTN,Siêu thị,Khác,B2B,5,0,0,0,0,0,1,0,0,0
60003086,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60003087,KVMN,Siêu thị,Khác,B2B,2,0,0,0,0,0,1,0,0,0
60003811,KVMB,Siêu thị,Khác,B2B,1,0,0,0,0,0,1,0,0,0
60003817,KVMT,Siêu thị,Khác,B2B,3,0,0,0,0,0,1,0,0,0
40000119,KVMN,Khác,Khác,B2B,2,0,0,1,0,0,0,0,0,0
40000139,KVMN,Khác,Khác,B2B,2,0,0,1,0,0,0,0,0,0
60000013,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000014,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000016,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000021,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000025,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000027,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000029,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000031,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000036,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000038,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000039,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000041,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000042,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000044,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000046,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000047,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000050,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000052,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000057,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000058,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000060,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000061,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000062,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000063,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000066,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000072,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000079,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000085,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000087,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000093,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000100,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000102,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000104,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000105,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000110,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000118,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000126,KVMN,Độc lập,TT hành chính kinh tế,B2B,2,3,0,0,0,0,0,0,0,1
60000130,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000132,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000133,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000139,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000144,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000145,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000146,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000147,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000151,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000152,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000154,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000157,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000158,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000160,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000166,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000168,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000169,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
60000173,KVMN,Độc lập,Nội thành,B2B,2,2,0,0,0,0,0,0,0,1
